Item	Category	Sources
Nightprowler's Targe	Instance	Sastasha	The Tam-Tara Deepcroft	Copperbell Mines
Doctore's Buckler	Instance	Halatali
Eulabeia	Instance	The Minstrel's Ballad: Hades's Elegy
Iron Scutum	Acquire	Level 21 Weapon Coffer
Edenchoir Helm of Fending	Acquire	Edenchoir Head Gear Coffer
YoRHa Type-53 Headband of Fending	Instance	The Puppets' Bunker
Edenchoir Wings of Healing	Acquire	Edenchoir Head Gear Coffer
Edenchoir Eyepatch of Scouting	Acquire	Edenchoir Head Gear Coffer
Edenchoir Hat of Casting	Acquire	Edenchoir Head Gear Coffer
YoRHa Type-53 Headband of Maiming	Instance	The Puppets' Bunker
Deepgold Kite Shield	Acquire	White Oak Weapon Coffer
Iron Lantern Shield	Acquire	Level 18 Weapon Coffer
Edenchoir Chapeau of Aiming	Acquire	Edenchoir Head Gear Coffer
YoRHa Type-53 Headband of Striking	Instance	The Puppets' Bunker
Genji Kabuto of Striking	Instance	Deltascape V2.0 (Savage)
Genji Eboshi of Aiming	Instance	Deltascape V3.0 (Savage)
Bonewicca Soother's Mask	Instance	The Swallow's Compass
Edenchoir Eyepatch of Striking	Acquire	Edenchoir Head Gear Coffer
Warded Round Shield	Instance	Sastasha	The Tam-Tara Deepcroft	Copperbell Mines
Genji Kabuto of Maiming	Instance	Deltascape V3.0 (Savage)
Bonewicca Whisperer's Mask	Instance	The Swallow's Compass
Edenchoir Helm of Maiming	Acquire	Edenchoir Head Gear Coffer
Genji Kabuto of Casting	Instance	Deltascape V3.0 (Savage)
Genji Eboshi of Healing	Instance	Deltascape V3.0 (Savage)
Genji Kabuto of Fending	Instance	Deltascape V2.0 (Savage)
Valerian Shaman's Temple Chain	Instance	Neverreap	The Fractal Continuum
Genji Somen of Scouting	Instance	Deltascape V2.0 (Savage)
Valerian Wizard's Hat	Instance	Neverreap	The Fractal Continuum
Valerian Rogue's Bandana	Instance	Neverreap	The Fractal Continuum
Valerian Smuggler's Bandana	Instance	Neverreap	The Fractal Continuum
Valerian Terror Knight's Barbut	Instance	Neverreap	The Fractal Continuum
Valerian Fusilier's Pot Helm	Instance	Neverreap	The Fractal Continuum
Ishgardian Bowman's Cap	Instance	The Dusk Vigil
Ishgardian Monastic's Cap	Instance	The Dusk Vigil
Valerian Dragoon's Barbut	Instance	Neverreap	The Fractal Continuum
Ishgardian Historian's Hat	Instance	The Dusk Vigil
Dreadwyrm Circlet of Striking	Instance	The Final Coil of Bahamut - Turn 1
Woad Skyhunter's Pelt	Instance	Sohm Al
Ishgardian Knight's Helm	Instance	The Dusk Vigil
Ishgardian Banneret's Helm	Instance	The Dusk Vigil
Dreadwyrm Petasos of Casting	Instance	The Final Coil of Bahamut - Turn 1
Woad Skychaser's Pelt	Instance	Sohm Al
Woad Skywarrior's Pelt	Instance	Sohm Al
Demon Circlet of Striking	Instance	The World of Darkness
Demon Hat of Casting	Instance	The World of Darkness
Ishgardian Chaplain's Klobuk	Instance	The Dusk Vigil
Demon Circlet of Scouting	Instance	The World of Darkness
Dreadwyrm Coronet of Fending	Instance	The Final Coil of Bahamut - Turn 3
Dreadwyrm Hood of Healing	Instance	The Final Coil of Bahamut - Turn 1
Demon Hat of Aiming	Instance	The World of Darkness
Dreadwyrm Circlet of Scouting	Instance	The Final Coil of Bahamut - Turn 2
Dreadwyrm Chapeau of Aiming	Instance	The Final Coil of Bahamut - Turn 3
Woad Skywicce's Hood	Instance	Sohm Al
Demon Helm of Fending	Instance	The World of Darkness
Ishgardian Outrider's Cap	Instance	The Dusk Vigil
Dreadwyrm Barbut of Maiming	Instance	The Final Coil of Bahamut - Turn 2
Woad Skydruid's Hood	Instance	Sohm Al
Dark Divinity Auga	Instance	Urth's Fount
Demon Circlet of Maiming	Instance	The World of Darkness
Dark Divinity Hjalmr	Instance	Urth's Fount
Magus's Mask	Acquire	Magus's Attire Coffer
Aurum Celata	Instance	The Aurum Vale
Aurum Pot Helm	Instance	The Aurum Vale
Hellhound Helm	Acquire	Hellhound Attire Coffer
Legionary Visor	Drop	2nd Cohort Eques	2nd Cohort Hoplomachus	2nd Cohort Laquearius	2nd Cohort Secutor	2nd Cohort Signifer	Aulus Rem Vulso	Imperial Engineer	3rd Cohort Decurion	3rd Cohort Eques	3rd Cohort Hoplomachus	3rd Cohort Laquearius	3rd Cohort Secutor	3rd Cohort Signifer	7th Cohort Eques	7th Cohort Hoplomachus	7th Cohort Signifer	4th Cohort Eques	4th Cohort Hoplomachus	4th Cohort Laquearius	4th Cohort Secutor	4th Cohort Signifer	5th Cohort Eques	5th Cohort Evocatus	5th Cohort Hoplomachus	5th Cohort Laquearius	5th Cohort Secutor	5th Cohort Signifer	6th Cohort Eques	6th Cohort Hoplomachus	6th Cohort Laquearius	6th Cohort Secutor	6th Cohort Signifer
Grey Hound Helm	Acquire	Grey Hound Armor Coffer
Aurum Temple Chain	Instance	The Aurum Vale
Gunro Kabuto	Acquire	Gunro Armor Coffer
Koro Kabuto	Acquire	Koro Armor Coffer
Scion Traveler's Mask	Acquire	Scion Traveler's Attire Coffer
Genji Domaru of Healing	Instance	Deltascape V4.0 (Savage)
Genji Domaru of Striking	Instance	Deltascape V4.0 (Savage)
Genji Oyoroi of Aiming	Instance	Deltascape V4.0 (Savage)
Genji Domaru of Casting	Instance	Deltascape V4.0 (Savage)
Ivalician Fusilier's Jacket	Instance	The Royal City of Rabanastre
Ivalician Lancer's Tunic	Instance	The Royal City of Rabanastre
Genji Jin-baori of Scouting	Instance	Deltascape V4.0 (Savage)
Ivalician Squire's Tunic	Instance	The Royal City of Rabanastre
Ivalician Samurai's Dogi	Instance	The Royal City of Rabanastre
Ivalician Martialist's Dogi	Instance	The Royal City of Rabanastre
Decorated Iron Scutum	Acquire	Level 36 Weapon Coffer
Qarn Kite Shield	Instance	The Sunken Temple of Qarn
Longstop Hoplon	Instance	Brayflox's Longstop
Goatskin Targe	Acquire	Level 28 Weapon Coffer
Shield of the Savage	Instance	Haukke Manor
Waning Sun Pelta	Instance	Haukke Manor
Crier's Scutum	Instance	Cutter's Cry
Decorated Buckler	Acquire	Level 34 Weapon Coffer
Thalassian Targe	Instance	The Thousand Maws of Toto-Rak
Scorpion Shield	Instance	Dzemael Darkhold
Vigil Canopus Shield	Instance	The Stone Vigil
Viper-crested Round Shield	Acquire	Level 24 Weapon Coffer
Raptorskin Targe	Acquire	Level 40 Weapon Coffer
Hellhound Armor	Acquire	Hellhound Attire Coffer
Barghest Armor	Acquire	Barghest Attire Coffer
Moddey Dhoo Armor	Acquire	Moddey Dhoo Attire Coffer
Gunro Oyoroi	Acquire	Gunro Armor Coffer
Koro Oyoroi	Acquire	Koro Armor Coffer
Grey Hound Armor	Acquire	Grey Hound Armor Coffer
Hoplite Circlet	Instance	Pharos Sirius	Copperbell Mines (Hard)
Blessed Monocle	Instance	Pharos Sirius
Peltast Helm	Instance	Pharos Sirius	Haukke Manor (Hard)
Thick Chain Coif	Instance	Copperbell Mines (Hard)	Haukke Manor (Hard)
Strategos Coif	Instance	Copperbell Mines (Hard)	Haukke Manor (Hard)
Sipahi Turban	Instance	The Wanderer's Palace	Amdapor Keep
Mercenary's Pot Helm	Instance	The Wanderer's Palace	Amdapor Keep
Noble's Goggles	Instance	Pharos Sirius	Copperbell Mines (Hard)
Lord's Celata	Instance	Haukke Manor (Hard)
Demagogue Mask	Instance	Copperbell Mines (Hard)
Vermilion Chain Coif	Instance	The Wanderer's Palace	Amdapor Keep
Hetairos Elmo	Instance	Pharos Sirius
War Mesail	Instance	Copperbell Mines (Hard)
Warlock's Hat	Instance	The Wanderer's Palace	Amdapor Keep
Ivalician Sky Pirate's Hat	Instance	The Orbonne Monastery
Deepgold Helm of Fending	Acquire	White Oak Head Gear Coffer
Toxotes Bandana	Instance	Haukke Manor (Hard)
Ivalician Mystic's Hat	Instance	The Orbonne Monastery
Ivalician Mercenary's Circlet	Instance	The Orbonne Monastery
Ivalician Brave's Circlet	Instance	The Orbonne Monastery
Deepgold Mask of Scouting	Acquire	White Oak Head Gear Coffer
Brightlinen Hood of Aiming	Acquire	White Oak Head Gear Coffer
Ivalician Oracle's Mask	Instance	The Orbonne Monastery
Brightlinen Cap of Casting	Acquire	White Oak Head Gear Coffer
Brightlinen Cap of Healing	Acquire	White Oak Head Gear Coffer
Brightlinen Hood of Striking	Acquire	White Oak Head Gear Coffer
Stonegold Circlet of Maiming	Acquire	White Oak Head Gear Coffer
Scion Traveler's Jacket	Acquire	Scion Traveler's Attire Coffer
Warg Pelt of Aiming	Instance	The Grand Cosmos
Warg Pelt of Striking	Instance	The Grand Cosmos
Warg Pelt of Casting	Instance	The Grand Cosmos
Warg Pelt of Fending	Instance	The Grand Cosmos
Warg Pelt of Maiming	Instance	The Grand Cosmos
Warg Pelt of Scouting	Instance	The Grand Cosmos
Warg Pelt of Healing	Instance	The Grand Cosmos
Shisui Mengu of Scouting	Instance	Shisui of the Violet Tides
Ghost Barque Helm of Aiming	Instance	The Sirensong Sea
Ghost Barque Turban of Striking	Instance	The Sirensong Sea
Alexandrian Visor of Fending	Instance	Alexander - The Breath of the Creator (Savage)
Shisui Mengu of Aiming	Instance	Shisui of the Violet Tides
Ghost Barque Mask of Maiming	Instance	The Sirensong Sea
Ghost Barque Hood of Scouting	Instance	The Sirensong Sea
Shisui Mengu of Healing	Instance	Shisui of the Violet Tides
Shisui Mengu of Maiming	Instance	Shisui of the Violet Tides
Ghost Barque Turban of Healing	Instance	The Sirensong Sea
Ghost Barque Circlet of Fending	Instance	The Sirensong Sea
Shisui Mengu of Casting	Instance	Shisui of the Violet Tides
Ghost Barque Cap of Casting	Instance	The Sirensong Sea
Shisui Mengu of Striking	Instance	Shisui of the Violet Tides
Alexandrian Hood of Healing	Instance	Alexander - The Heart of the Creator (Savage)
Alexandrian Circlet of Aiming	Instance	Alexander - The Heart of the Creator (Savage)
Alexandrian Mask of Striking	Instance	Alexander - The Breath of the Creator (Savage)
Alexandrian Hood of Casting	Instance	Alexander - The Heart of the Creator (Savage)
Diabolic Circlet of Maiming	Instance	Dun Scaith
Alexandrian Mask of Scouting	Instance	Alexander - The Breath of the Creator (Savage)
Alexandrian Visor of Maiming	Instance	Alexander - The Heart of the Creator (Savage)
Diabolic Helm of Fending	Instance	Dun Scaith
Circlet of the Divine Harvest	Instance	Hullbreaker Isle	The Tam-Tara Deepcroft (Hard)
Mask of Divine Wisdom	Instance	Hullbreaker Isle	The Stone Vigil (Hard)
Argute Mortarboard	Acquire	Argute Attire Coffer
Crown of Light	Instance	The Labyrinth of the Ancients
Darklight Helm	Instance	The Lost City of Amdapor
Ballad Crown	Instance	The Labyrinth of the Ancients
Monocle of Divine Death	Instance	The Tam-Tara Deepcroft (Hard)	The Stone Vigil (Hard)
Gold Spectacles	Acquire	Astrologian's Attire Coffer
Helm of the Divine War	Instance	The Tam-Tara Deepcroft (Hard)	The Stone Vigil (Hard)
Fistfighter's Goggles	Instance	The Lost City of Amdapor
Darklight Eyepatch of Striking	Instance	Halatali (Hard)	Brayflox's Longstop (Hard)
Hat of the Divine Light	Instance	Hullbreaker Isle	The Tam-Tara Deepcroft (Hard)
Onion Mask	Instance	The Labyrinth of the Ancients
Crimson Hat	Instance	The Labyrinth of the Ancients
Royal Crown	Instance	The Labyrinth of the Ancients
Fuma Gantai	Instance	The Labyrinth of the Ancients
Cleric's Circlet	Acquire	Cleric's Attire Coffer
Protector's Barbut	Instance	The Lost City of Amdapor	Brayflox's Longstop (Hard)
Allagan Circlet of Healing	Instance	The Binding Coil of Bahamut - Turn 2
Eyepatch of the Divine Hero	Instance	Hullbreaker Isle	The Stone Vigil (Hard)
Hussar's Goggles	Instance	Halatali (Hard)	Brayflox's Longstop (Hard)
Darklight Eyepatch of Aiming	Instance	The Lost City of Amdapor	Brayflox's Longstop (Hard)
Pilgrim's Eyepatch	Instance	The Lost City of Amdapor
Shikaree's Mask	Instance	Halatali (Hard)
Magician's Hat	Instance	Halatali (Hard)	Brayflox's Longstop (Hard)
Titanbronze Headgear of Fending	Acquire	Titanbronze Head Gear Coffer
Nabaath Pot Helm of Maiming	Instance	Malikah's Well
Dwarven Mythril Helm of Maiming	Acquire	High Mythril Head Gear Coffer
The Forgiven's Circlet of Fending	Instance	Mt. Gulg
Ravel Keeper's Headband of Maiming	Instance	The Qitana Ravel
Dwarven Cotton Petasos of Healing	Acquire	High Mythril Head Gear Coffer
Dwarven Cotton Turban of Scouting	Acquire	High Mythril Head Gear Coffer
Atrociraptorskin Headgear of Scouting	Acquire	Bluespirit Head Gear Coffer
Ovim Wool Ushanka of Striking	Acquire	Titanbronze Head Gear Coffer
The Forgiven's Circlet of Striking	Instance	Mt. Gulg
The Forgiven's Hat of Healing	Instance	Mt. Gulg
Dwarven Cotton Petasos of Casting	Acquire	High Mythril Head Gear Coffer
Ovim Wool Muffed Met of Casting	Acquire	Titanbronze Head Gear Coffer
Nabaath Turban of Scouting	Instance	Malikah's Well
Ovim Wool Ushanka of Aiming	Acquire	Titanbronze Head Gear Coffer
Bluespirit Helm of Maiming	Acquire	Bluespirit Head Gear Coffer
Ravel Keeper's Headdress of Scouting	Instance	The Qitana Ravel
Ovim Wool Muffed Met of Healing	Acquire	Titanbronze Head Gear Coffer
Dwarven Mythril Helm of Striking	Acquire	High Mythril Head Gear Coffer
Nabaath Headgear of Striking	Instance	Malikah's Well
Ravel Keeper's Headband of Fending	Instance	The Qitana Ravel
Nabaath Scarf of Aiming	Instance	Malikah's Well
Pixie Cotton Hat of Striking	Acquire	Bluespirit Head Gear Coffer
Ravel Keeper's Headband of Healing	Instance	The Qitana Ravel
Ravel Keeper's Headband of Aiming	Instance	The Qitana Ravel
The Forgiven's Hat of Casting	Instance	Mt. Gulg
Bluespirit Headgear of Casting	Acquire	Bluespirit Head Gear Coffer
Nabaath Cap of Healing	Instance	Malikah's Well
Atrociraptorskin Headgear of Aiming	Acquire	Bluespirit Head Gear Coffer
Ravel Keeper's Headband of Striking	Instance	The Qitana Ravel
Titanbronze Headband of Scouting	Acquire	Titanbronze Head Gear Coffer
Dwarven Mythril Helm of Fending	Acquire	High Mythril Head Gear Coffer
Nabaath Pot Helm of Fending	Instance	Malikah's Well
Titanbronze Headgear of Maiming	Acquire	Titanbronze Head Gear Coffer
Nabaath Crown of Casting	Instance	Malikah's Well
The Forgiven's Hat of Aiming	Instance	Mt. Gulg
Bluespirit Helm of Fending	Acquire	Bluespirit Head Gear Coffer
Dwarven Cotton Turban of Aiming	Acquire	High Mythril Head Gear Coffer
Ravel Keeper's Headband of Casting	Instance	The Qitana Ravel
The Forgiven's Circlet of Maiming	Instance	Mt. Gulg
The Forgiven's Circlet of Scouting	Instance	Mt. Gulg
Nomad's Helm of Fending	Instance	Bardam's Mettle
Valerian Dark Priest's Hat	Instance	Castrum Abania
Yanxian Hachigane of Maiming	Instance	Doma Castle
Valerian Vedette's Hat	Instance	Castrum Abania
Yanxian Hachigane of Healing	Instance	Doma Castle
Valerian Rune Fencer's Wings	Instance	Castrum Abania
Yanxian Hachigane of Aiming	Instance	Doma Castle
Valerian Archer's Hat	Instance	Castrum Abania
Valerian Priest's Hat	Instance	Castrum Abania
Yanxian Hachigane of Scouting	Instance	Doma Castle
Nomad's Cap of Aiming	Instance	Bardam's Mettle
Nomad's Cap of Striking	Instance	Bardam's Mettle
Nomad's Cap of Scouting	Instance	Bardam's Mettle
Antiquated Constellation Turban	Acquire	Constellation Attire Coffer
Yanxian Hachigane of Striking	Instance	Doma Castle
Nomad's Cap of Casting	Instance	Bardam's Mettle
Shisui Mengu of Fending	Instance	Shisui of the Violet Tides
Yanxian Hachigane of Fending	Instance	Doma Castle
Xenobian Hood	Instance	Castrum Abania
Nomad's Cap of Maiming	Instance	Bardam's Mettle
Yanxian Hachigane of Casting	Instance	Doma Castle
Valerian Brawler's Hat	Instance	Castrum Abania
Nomad's Cap of Healing	Instance	Bardam's Mettle
Edenchoir Gauntlets of Scouting	Acquire	Edenchoir Hand Gear Coffer
YoRHa Type-53 Gloves of Scouting	Instance	The Puppets' Bunker
Edenchoir Armlets of Healing	Acquire	Edenchoir Hand Gear Coffer
Edenchoir Vambraces of Aiming	Acquire	Edenchoir Hand Gear Coffer
Edenchoir Gauntlets of Maiming	Acquire	Edenchoir Hand Gear Coffer
Edenchoir Gauntlets of Fending	Acquire	Edenchoir Hand Gear Coffer
YoRHa Type-53 Gloves of Striking	Instance	The Puppets' Bunker
YoRHa Type-53 Gloves of Aiming	Instance	The Puppets' Bunker
YoRHa Type-53 Gloves of Fending	Instance	The Puppets' Bunker
YoRHa Type-53 Gloves of Maiming	Instance	The Puppets' Bunker
Edenchoir Gauntlets of Striking	Acquire	Edenchoir Hand Gear Coffer
Exclusive Eastern Journey Jacket	Acquire	Eastern Journey Attire Coffer
Sophic Shield	Instance	Containment Bay P1T6 (Extreme)
Yanxian Shield	Instance	Doma Castle
Edenchoir Armlets of Casting	Acquire	Edenchoir Hand Gear Coffer
Susano's Shield	Instance	The Pool of Tribute (Extreme)
Ritter Shield	Instance	Castrum Abania
Horde Shield	Instance	The Minstrel's Ballad: Nidhogg's Rage
Shield of the Crimson Lotus	Instance	Ala Mhigo	The Temple of the Fist	Kugane Castle
Ghost Barque Shield	Instance	The Sirensong Sea
Antiquated Evalach	Acquire	Chivalrous Armor Coffer
Midan Metal Shield	Instance	Alexander - The Burden of the Son (Savage)
Zurvanite Shield	Instance	Containment Bay Z1T9 (Extreme)
Mol Shield	Instance	Bardam's Mettle
Shinryu's Shield	Instance	The Minstrel's Ballad: Shinryu's Domain
Shield of the Sephirot	Instance	Containment Bay S1T7 (Extreme)
Ruby Tide Shield	Instance	Shisui of the Violet Tides
Alexandrian Metal Buckler	Instance	Alexander - The Soul of the Creator (Savage)
Iga Zukin	Acquire	Iga Garb Coffer
Gordian Armet of Fending	Instance	Alexander - The Arm of the Father (Savage)
Gordian Shield	Instance	Alexander - The Burden of the Father (Savage)
Conqueror's Turban	Instance	Sohr Khai	Hullbreaker Isle (Hard)
Ravager's Helm	Acquire	Ravager's Armor Coffer
Berserker's Helm	Instance	Sohr Khai	Hullbreaker Isle (Hard)
Viking Helm	Instance	Sohr Khai	Hullbreaker Isle (Hard)
Savant's Top Hat	Acquire	Savant's Attire Coffer
Panegyrist's Mask	Instance	Sohr Khai	Hullbreaker Isle (Hard)
Gordian Sallet of Maiming	Instance	Alexander - The Arm of the Father (Savage)
Orison Hood	Acquire	Orison Attire Coffer
Gordian Sallet of Striking	Instance	Alexander - The Arm of the Father (Savage)
Valkyrie's Hat of Casting	Instance	Xelphatol	The Great Gubal Library (Hard)
Goetia Tricorne	Acquire	Goetia Attire Coffer
Wrangler's Hat	Instance	Sohr Khai	Hullbreaker Isle (Hard)
Gordian Crown of Healing	Instance	Alexander - The Arm of the Father (Savage)
Prophet's Mask	Instance	Sohr Khai	Hullbreaker Isle (Hard)
Gordian Hood of Scouting	Instance	Alexander - The Arm of the Father (Savage)
Dragonlancer's Mesail	Acquire	Dragonlancer's Armor Coffer
Valkyrie's Hat of Healing	Instance	Xelphatol	The Great Gubal Library (Hard)
Caller's Horn	Acquire	Caller's Attire Coffer
Gordian Crown of Casting	Instance	Alexander - The Arm of the Father (Savage)
Machinist's Goggles	Acquire	Machinist's Armor Coffer
Chaos Burgeonet	Acquire	Chaos Armor Coffer
Tantra Tantour	Acquire	Tantra Armor Coffer
Welkin Hat	Acquire	Welkin Attire Coffer
Subjugator's Turban	Instance	Sohr Khai	Hullbreaker Isle (Hard)
Gordian Hood of Aiming	Instance	Alexander - The Arm of the Father (Savage)
Aoidos' Turban	Acquire	Aoidos' Attire Coffer
Creed Wings	Acquire	Creed Armor Coffer
YoRHa Type-53 Hat of Aiming	Instance	The Puppets' Bunker
YoRHa Type-53 Hat of Healing	Instance	The Puppets' Bunker
Idealized Bale Burgeonet	Acquire	Idealized Head Gear Coffer
Idealized Pteroslaver Armet	Acquire	Idealized Head Gear Coffer
YoRHa Type-53 Hood of Scouting	Instance	The Puppets' Bunker
Idealized Boii Burgeonet	Acquire	Idealized Head Gear Coffer
Idealized Chevalier's Temple Chain	Acquire	Idealized Head Gear Coffer
YoRHa Type-53 Hat of Casting	Instance	The Puppets' Bunker
Idealized Bodyguard's Blinder	Acquire	Idealized Head Gear Coffer
Idealized Dancer's Headdress	Acquire	Idealized Head Gear Coffer
Idealized Estoqueur's Tricorne	Acquire	Idealized Head Gear Coffer
Idealized Fili Chapeau	Acquire	Idealized Head Gear Coffer
Shadowless Mask of Maiming	Instance	The Heroes' Gauntlet
Idealized Bhikku Knotcap	Acquire	Idealized Head Gear Coffer
Idealized Arbatel Mortarboard	Acquire	Idealized Head Gear Coffer
Idealized Beckoner's Horn	Acquire	Idealized Head Gear Coffer
Idealized Wicce Petasos	Acquire	Idealized Head Gear Coffer
Shadowless Mask of Striking	Instance	The Heroes' Gauntlet
Idealized Ebers Hood	Acquire	Idealized Head Gear Coffer
Idealized Hattori Somen	Acquire	Idealized Head Gear Coffer
Idealized Soothsayer's Turban	Acquire	Idealized Head Gear Coffer
Shadowless Mask of Scouting	Instance	The Heroes' Gauntlet
Idealized Gunslinger's Hat	Acquire	Idealized Head Gear Coffer
Idealized Kasuga Hanbo	Acquire	Idealized Head Gear Coffer
Shadowless Mask of Fending	Instance	The Heroes' Gauntlet
Dai-ryumyaku Dogi of Healing	Acquire	Dai-ryumyaku Armor of Healing Coffer
Royal Volunteer's Gambison of Maiming	Instance	The Burn	Saint Mocianne's Arboretum (Hard)
Diamond Robe of Casting	Instance	Sigmascape V4.0 (Savage)
Royal Volunteer's Gambison of Aiming	Instance	The Burn	Saint Mocianne's Arboretum (Hard)
Royal Volunteer's Gambison of Healing	Instance	The Burn	Saint Mocianne's Arboretum (Hard)
Dai-ryumyaku Dogi of Casting	Acquire	Dai-ryumyaku Armor of Casting Coffer
Ivalician Thief's Jacket	Instance	The Ridorana Lighthouse
Ivalician Uhlan's Jacket	Instance	The Ridorana Lighthouse
Ivalician Shikari's Jacket	Instance	The Ridorana Lighthouse
Diamond Robe of Healing	Instance	Sigmascape V4.0 (Savage)
Royal Volunteer's Gambison of Casting	Instance	The Burn	Saint Mocianne's Arboretum (Hard)
Royal Volunteer's Coat of Striking	Instance	The Burn	Saint Mocianne's Arboretum (Hard)
Ivalician Arithmetician's Robe	Instance	The Ridorana Lighthouse
Ivalician Chemist's Robe	Instance	The Ridorana Lighthouse
Royal Volunteer's Coat of Scouting	Instance	The Burn	Saint Mocianne's Arboretum (Hard)
Dai-ryumyaku Jufuku of Aiming	Acquire	Dai-ryumyaku Armor of Aiming Coffer
Ivalician Ark Knight's Surcoat	Instance	The Ridorana Lighthouse
Ivalician Archer's Jacket	Instance	The Ridorana Lighthouse
Royal Volunteer's Gambison of Fending	Instance	The Burn	Saint Mocianne's Arboretum (Hard)
Red Hat	Acquire	Red Attire Coffer
Nameless Hachigane	Acquire	Nameless Armor Coffer
High Allagan Headgear of Maiming	Instance	The Second Coil of Bahamut - Turn 3	The Second Coil of Bahamut (Savage) - Turn 3
High Allagan Circlet of Healing	Instance	The Second Coil of Bahamut - Turn 3	The Second Coil of Bahamut (Savage) - Turn 3
High Allagan Circlet of Fending	Instance	The Second Coil of Bahamut - Turn 1	The Second Coil of Bahamut (Savage) - Turn 1
High Allagan Headgear of Striking	Instance	The Second Coil of Bahamut - Turn 1	The Second Coil of Bahamut (Savage) - Turn 1
Phlegethon's Mask	Instance	Syrcus Tower
Demon Hat of Healing	Instance	The World of Darkness
High Allagan Mask of Casting	Instance	The Second Coil of Bahamut - Turn 2	The Second Coil of Bahamut (Savage) - Turn 2
High Allagan Mask of Aiming	Instance	The Second Coil of Bahamut - Turn 2	The Second Coil of Bahamut (Savage) - Turn 2
Varlet's Sallet	Instance	The Keeper of the Lake	The Wanderer's Palace (Hard)
The Guardian's Helm of Maiming	Instance	Syrcus Tower
Plundered Celata	Instance	Sastasha	The Tam-Tara Deepcroft	Copperbell Mines
Plundered Goggles	Instance	Sastasha	The Tam-Tara Deepcroft	Copperbell Mines
Pirate's Bandana	Instance	Sastasha	The Tam-Tara Deepcroft	Copperbell Mines
Plundered Cavalier's Hat	Instance	Sastasha	The Tam-Tara Deepcroft	Copperbell Mines
Skysteel Alembic	Acquire	Skysteel Prototype Coffer
Skysteel Fishing Rod	Acquire	Skysteel Prototype Coffer
Skysteel Frypan	Acquire	Skysteel Prototype Coffer
Deepgold Cuirass of Fending	Acquire	White Oak Chest Gear Coffer
Ivalician Sky Pirate's Jacket	Instance	The Orbonne Monastery
Omega Gambison of Striking	Instance	Alphascape V4.0 (Savage)
Omega Gambison of Fending	Instance	Alphascape V4.0 (Savage)
Ivalician Oracle's Coat	Instance	The Orbonne Monastery
Ivalician Holy Knight's Armor	Instance	The Orbonne Monastery
Ivalician Royal Knight's Armor	Instance	The Orbonne Monastery
Omega Jacket of Casting	Instance	Alphascape V4.0 (Savage)
Ivalician Brave's Jacket	Instance	The Orbonne Monastery
Omega Gambison of Maiming	Instance	Alphascape V4.0 (Savage)
Ivalician Mystic's Coat	Instance	The Orbonne Monastery
Omega Coat of Healing	Instance	Alphascape V4.0 (Savage)
Ivalician Mercenary's Jacket	Instance	The Orbonne Monastery
Omega Coat of Scouting	Instance	Alphascape V4.0 (Savage)
Omega Jacket of Aiming	Instance	Alphascape V4.0 (Savage)
Cavalry Mask	Instance	Brayflox's Longstop
Infantry Bandana	Instance	Brayflox's Longstop
Qarn Goggles	Instance	The Sunken Temple of Qarn
Qarn Circlet	Instance	The Sunken Temple of Qarn
Battlemage's Hat	Instance	Brayflox's Longstop
Endless Summer Glasses	Acquire	Endless Summer Coffer
Werewolf Head	Acquire	Werewolf Attire Chest for Men	Werewolf Attire Chest for Women
No.2 Type B Goggles	Acquire	No.2 Type B Materiel Storage Crate
Manor Elmo	Instance	Haukke Manor
Warden's Barbut	Instance	The Thousand Maws of Toto-Rak
Doctore's Hat	Instance	Halatali
Nighthawk Visor	Instance	The Thousand Maws of Toto-Rak
Doctore's Chain Coif	Instance	Halatali
Manor Beret	Instance	Haukke Manor
Torturer's Monocle	Instance	The Thousand Maws of Toto-Rak
Manor Bandana	Instance	Haukke Manor
Coeurl's Eye	Instance	Halatali
Harlequin's Cap	Instance	Dzemael Darkhold
Templar's Chain Coif	Instance	Dzemael Darkhold
Sentinel's Celata	Instance	Dzemael Darkhold
Buccaneer's Tricorne	Instance	Dzemael Darkhold
The Forgiven's Robe of Casting	Instance	Mt. Gulg
Swallowskin Robe of Aiming	Acquire	High Mythril Chest Gear Coffer
Dwarven Mythril Chainmail of Fending	Acquire	High Mythril Chest Gear Coffer
The Forgiven's Tabard of Aiming	Instance	Mt. Gulg
Swallowskin Robe of Healing	Acquire	High Mythril Chest Gear Coffer
Swallowskin Jacket of Scouting	Acquire	High Mythril Chest Gear Coffer
Dwarven Mythril Chainmail of Maiming	Acquire	High Mythril Chest Gear Coffer
Swallowskin Robe of Casting	Acquire	High Mythril Chest Gear Coffer
The Forgiven's Mail of Maiming	Instance	Mt. Gulg
The Forgiven's Chestpiece of Scouting	Instance	Mt. Gulg
Nabaath Vest of Maiming	Instance	Malikah's Well
The Forgiven's Armor of Fending	Instance	Mt. Gulg
Nabaath Coat of Scouting	Instance	Malikah's Well
Nabaath Vest of Aiming	Instance	Malikah's Well
Nabaath Doublet of Striking	Instance	Malikah's Well
Dwarven Mythril Chainmail of Striking	Acquire	High Mythril Chest Gear Coffer
The Forgiven's Robe of Healing	Instance	Mt. Gulg
The Forgiven's Chestpiece of Striking	Instance	Mt. Gulg
Nabaath Vest of Fending	Instance	Malikah's Well
Nabaath Doublet of Casting	Instance	Malikah's Well
Nabaath Doublet of Healing	Instance	Malikah's Well
